school_year,district_id,school_id,school_number,core_code,individual school course_section,grade_level,Student Enrollment
2015,186170,186170,700,35020000035,8025B4,10,2
2015,186170,186170,700,35020000035,8025B5,10,2
2015,186170,186170,700,35020000035,8025B6,10,2
2015,186170,186170,700,35020000035,8025B9,10,1
2015,186182,186182,101,32020000216,348971,10,1
2015,186182,186182,101,32020000216,348991,10,1
2015,186306,186307,700,32020000216,16211,10,28
2015,186306,186307,700,35020000007,16221,10,29
2015,186306,186307,700,35020000030,16062,10,28
2015,186306,186307,700,35020000035,16081,10,28
2015,186306,186307,700,35020000060,16151,10,28
2015,186357,186358,800,35020000030,3031,10,2
2015,186357,186358,800,35020000030,6141,10,6
2015,186369,186370,700,35020000030,1021,10,15
2015,186369,186370,700,35020000030,1086,10,5
2015,186369,186370,700,35020000030,1136,10,16
2015,186369,186370,700,35020000030,1194,10,5
2015,186369,186370,700,35020000030,1295,10,5
2015,186369,186370,700,35020000030,1296,10,1
2015,186369,186370,700,35020000030,1633,10,4
